Frame,YOLO_Detecciones,ORB_Coincidencias,FPS
396,6,439,0
397,6,447,0
398,6,446,0
399,6,441,0
400,6,441,0
401,6,436,0
402,6,442,0
403,7,436,0
404,7,430,0
405,7,441,0
406,6,441,0
407,6,450,0
408,6,444,0
409,6,446,0
410,6,444,0
411,6,435,0
412,5,432,0
413,5,448,0
414,5,449,0
415,5,454,0
416,5,458,0
417,5,448,0
418,5,451,0
419,5,446,0
420,5,453,0
421,5,450,0
422,5,443,0
423,5,441,0
424,6,448,0
425,5,444,0
426,6,440,0
427,5,437,0
428,5,438,0
429,7,443,0
430,6,438,0
431,5,435,0
432,5,442,0
433,5,439,0
434,6,439,0
435,6,442,0
436,5,448,0
437,5,447,0
438,5,439,0
439,6,434,0
440,6,434,0
441,6,438,0
442,7,434,0
443,6,430,0
444,5,431,0
445,5,430,0
446,5,445,0
447,5,439,0
448,5,447,0
449,5,448,0
450,5,443,0
451,5,436,0
452,5,443,0
453,5,443,0
454,5,446,0
455,5,433,0
456,5,424,0
457,5,426,0
458,5,434,0
459,5,442,0
460,4,440,0
461,4,441,0
462,4,441,0
463,4,443,0
464,3,446,0
465,3,449,0
466,3,447,0
467,3,454,0
468,3,450,0
469,4,448,0
470,4,446,0
471,4,442,0
472,4,446,0
473,5,446,0
474,5,440,0
475,6,425,0
476,5,430,0
477,5,434,0
478,5,429,0
479,5,425,0
480,4,434,0
481,4,419,0
482,4,429,0
483,4,429,0
484,6,447,0
485,6,447,0
486,7,443,0
487,5,447,0
488,5,440,0
489,5,437,0
490,5,441,0
491,4,445,0
492,4,429,0
493,4,402,0
494,5,431,0
495,6,429,0
496,6,427,0
497,6,425,0
498,5,426,0
499,5,432,0
500,5,407,0
501,4,440,0
502,5,438,0
503,5,443,0
504,5,431,0
505,4,410,0
506,4,427,0
507,4,427,0
508,5,429,0
509,5,418,0
510,5,429,0
511,4,426,0
512,4,432,0
513,5,433,0
514,5,436,0
515,4,425,0
516,5,429,0
517,5,432,0
518,5,438,0
519,7,443,0
520,7,430,0
521,7,441,0
522,7,436,0
523,7,427,0
524,6,421,0
525,7,427,0
526,6,439,0
527,7,428,0
528,7,424,0
529,6,425,0
530,7,439,0
531,7,433,0
532,7,437,0
533,6,428,0
534,6,426,0
535,6,436,0
536,6,440,0
537,6,441,0
538,6,434,0
539,7,425,0
540,8,431,0
541,8,432,0
542,7,437,0
543,7,440,0
544,8,431,0
545,8,429,0
546,8,434,0
547,8,432,0
548,7,439,0
549,7,429,0
550,6,443,0
551,5,445,0
552,6,449,0
553,6,445,0
554,5,456,0
555,6,444,0
556,6,446,0
557,6,437,0
558,6,446,0
559,6,443,0
560,5,443,0
561,7,444,0
562,7,447,0
563,6,450,0
564,6,440,0
565,6,447,0
566,6,442,0
567,7,459,0
568,5,455,0
569,7,455,0
570,5,451,0
571,5,459,0
572,5,451,0
573,5,448,0
574,5,451,0
575,5,457,0
576,6,456,0
577,5,448,0
578,5,460,0
579,5,450,0
580,5,440,0
581,5,447,0
582,6,446,0
583,6,448,0
584,7,448,0
585,6,454,0
586,6,444,0
587,6,450,0
588,7,449,0
589,6,442,0
590,6,446,0
591,5,445,0
592,5,448,0
593,5,459,0
594,5,458,0
595,5,456,0
596,5,453,0
597,5,457,0
598,5,456,0
599,5,450,0
600,5,459,0
